curve,variant,round,perf,cyc1,cyc2,cyc3,cyctot,sp1,sp2
sparse,128-ba,1,16956000279,5649557412,3003647170,70437558,9345974886,12,17
dense,128-ba,1,9498654392,1797494812,1894497860,1358965392,5239343350,23,23
sparse,128-lo,1,17322406550,6102937512,3569531320,73647500,10439798266,12,17
dense,128-lo,1,9111303989,1966799878,2232790110,1586997528,6003937422,23,23
sparse,128a-ba,1,15223387517,7300175478,2751219706,88967796,10964073378,12,17
dense,128a-ba,1,9262867389,2119515694,2420929052,1737033588,6519115052,23,23
sparse,128a-lo,1,16444709137,6471538368,3268051864,80264874,10557216090,12,17
dense,128a-lo,1,9132823991,1869527566,2195138858,1544774896,5819738684,23,23
sparse,256-ba,1,12660077298,6017415782,2142016706,89145000,8764716940,12,17
dense,256-ba,1,8829559285,1859654942,2396892652,1713838644,6167866530,23,23
sparse,256-lo,1,14281916823,5828860118,3307428326,86892696,9713618346,12,17
dense,256-lo,1,8561469134,1748035038,2179249520,1604625724,5715929798,23,23
sparse,512e-ba,1,32312946391,18599546976,3002018986,94987172,22382476232,12,17
dense,512e-ba,1,13434562804,4845587918,2427030580,1657713104,9157119900,23,23
sparse,512e-lo,1,33543431979,18888994292,3862834646,95951628,23540072392,12,17
dense,512e-lo,1,13062746392,4599983370,2188095040,1578480418,8585220098,23,23
sparse,64c16-lo,1,21439391569,9885699316,3929081396,93631458,15579002248,12,17
dense,64c16-lo,1,11667029357,3876238734,2502833260,1788561418,8518316768,23,23
sparse,128-lo,2,17379749374,7448304362,4362075662,91548016,12745431196,12,17
dense,128-lo,2,9094312262,2011135920,2291548630,1618045390,6145689340,23,23
sparse,128a-ba,2,15147181635,6670176006,2519352402,79836384,10018739962,12,17
dense,128a-ba,2,9159586140,1932112404,2260726398,1603997118,6019900126,23,23
sparse,128a-lo,2,16467931386,6585549734,3316174996,80819278,10729363080,12,17
dense,128a-lo,2,9193585210,1917464614,2225787076,1572581996,5931098356,23,23
sparse,256-ba,2,12494418787,5690607416,2047727478,85741560,8309689364,12,17
dense,256-ba,2,8783474384,1706586964,2220236070,1585638064,5696747580,23,23
sparse,256-lo,2,14227468606,5626526360,3209167294,83273742,9394383560,12,17
dense,256-lo,2,8589672067,1736828862,2145983574,1587082468,5653231036,23,23
sparse,512e-ba,2,32409093097,18690895356,3018453870,95702078,22493269284,12,17
dense,512e-ba,2,13490480680,4918496412,2447754854,1667015426,9265432368,23,23
sparse,512e-lo,2,33276429388,17904935198,3674107364,92420398,22328600120,12,17
dense,512e-lo,2,13078242953,4768476006,2257131972,1629925342,8881733572,23,23
sparse,64c16-lo,2,21493077325,11769601180,4671643056,111958818,18543242914,12,17
dense,64c16-lo,2,11675437493,4562012776,2949232182,2100938998,10025333932,23,23
sparse,128-ba,2,16829409082,8168209138,4400228196,104047208,13582544534,12,17
dense,128-ba,2,9408020586,2449931414,2651395946,1898598128,7259792162,23,23
sparse,128a-ba,3,15192358028,7867724262,2972379420,95727772,11825806392,12,17
dense,128a-ba,3,9147590167,1907969240,2250038748,1594975332,5973473536,23,23
sparse,128a-lo,3,16443660288,6455094912,3245773310,79494174,10512829654,12,17
dense,128a-lo,3,9163853592,1847291670,2147654144,1514573584,5716464160,23,23
sparse,256-ba,3,12494317181,5950087278,2137872532,86874958,8681284974,12,17
dense,256-ba,3,8778229061,1643662508,2165223088,1568737880,5558215588,23,23
sparse,256-lo,3,14110961314,5333092928,3074797878,80593062,8942822792,12,17
dense,256-lo,3,8538917244,1634152610,2053620442,1521477760,5382608948,23,23
sparse,512e-ba,3,32040779300,17481090248,2834806340,88374568,21059279378,12,17
dense,512e-ba,3,13702130226,5213022040,2516396192,1727773490,9696993960,23,23
sparse,512e-lo,3,32842020651,17007737432,3524047988,84280390,21247623664,12,17
dense,512e-lo,3,12917538616,4374264082,2115105494,1525288778,8224797416,23,23
sparse,64c16-lo,3,21345857175,8748908432,3462477848,84048464,13782344802,12,17
dense,64c16-lo,3,11595502204,3319258094,2154758022,1527553930,7301970766,23,23
sparse,128-ba,3,16719615933,6341487534,3431310494,77852876,10557387506,12,17
dense,128-ba,3,9287635538,1939951660,2145295768,1534037158,5827328386,23,23
sparse,128-lo,3,17288002279,6363081670,3729631696,76616420,10894897806,12,17
dense,128-lo,3,9054084381,1832364728,2109438066,1493507766,5640440482,23,23
sparse,128a-lo,4,16403911733,6325900126,3207245366,77630072,10331890170,12,17
dense,128a-lo,4,9171989804,1872663842,2174919298,1537233898,5794575314,23,23
sparse,256-ba,4,12243228713,5291216412,1946273944,76950392,7776043292,12,17
dense,256-ba,4,8788660067,1681861836,2187300602,1559907070,5610665920,23,23
sparse,256-lo,4,14132603160,5297340222,3047183250,77771382,8872524240,12,17
dense,256-lo,4,8555005323,1645645174,2052641250,1520897864,5391260748,23,23
sparse,512e-ba,4,31974212062,17528896058,2850464602,87611792,21114151964,12,17
dense,512e-ba,4,13293099989,4531225520,2310992110,1569545096,8625840622,23,23
sparse,512e-lo,4,33399551914,18132484776,3698801712,92430936,22590500294,12,17
dense,512e-lo,4,14083048905,7779366524,3389758390,2505874184,14020419940,23,23
sparse,64c16-lo,4,21356724165,11551740420,4617002292,108361354,18243877334,12,17
dense,64c16-lo,4,11603318520,4149335924,2697249452,1927597068,9149537570,23,23
sparse,128-ba,4,16786209437,8265150040,4444411024,104257240,13735917856,12,17
dense,128-ba,4,9343210842,2501179384,2734304238,1967648394,7469216832,23,23
sparse,128-lo,4,17382097681,8146589790,4760620900,98269888,13930589452,12,17
dense,128-lo,4,9106423625,2389304616,2725882058,1944508512,7323972916,23,23
sparse,128a-ba,4,15157745163,6809917500,2579819438,82252374,10240092148,12,17
dense,128a-ba,4,9131222022,1892166684,2236252850,1581382744,5930512716,23,23
sparse,256-ba,5,12610957519,6822283398,2421111008,100048168,9917248056,12,17
dense,256-ba,5,8921884296,2416285914,3045233800,2188943566,7904386412,23,23
sparse,256-lo,5,14347152892,6869939786,3849680736,99869512,11391329532,12,17
dense,256-lo,5,8663875511,2192421750,2650535030,1968310112,7037989096,23,23
sparse,512e-ba,5,32170378361,22496288180,3651675966,117118140,27104624734,12,17
dense,512e-ba,5,13323793320,5669675542,2871176272,1952976404,10762406764,23,23
sparse,512e-lo,5,33343399381,22259506978,4545972598,113404228,27741658800,12,17
