suite,cfg,round,secs
test1,ps8-p30,1,1.439860
test1many,ps8-p30,1,1.487390
test1,ps8-p35,1,1.605263
test1many,ps8-p35,1,1.377879
test1,ps8-p40,1,1.977515
test1many,ps8-p40,1,1.797569
test1,ps8-p45,1,2.373230
test1many,ps8-p45,1,2.322709
test1,ps8-p53,1,2.858693
test1many,ps8-p53,1,2.952558
test1,ps7-p30,1,1.743377
test1many,ps7-p30,1,1.796752
test1,ps8-p35,2,1.910036
test1many,ps8-p35,2,1.792777
test1,ps8-p40,2,2.182533
test1many,ps8-p40,2,1.902055
test1,ps8-p45,2,2.460847
test1many,ps8-p45,2,2.459234
test1,ps8-p53,2,2.837010
test1many,ps8-p53,2,2.913348
test1,ps7-p30,2,1.708412
test1many,ps7-p30,2,1.854205
test1,ps8-p30,2,1.729971
test1many,ps8-p30,2,1.818918
test1,ps8-p40,3,2.147293
test1many,ps8-p40,3,1.938895
test1,ps8-p45,3,2.395809
test1many,ps8-p45,3,2.359529
test1,ps8-p53,3,2.819689
test1many,ps8-p53,3,2.934511
test1,ps7-p30,3,1.697012
test1many,ps7-p30,3,1.879677
test1,ps8-p30,3,1.743459
test1many,ps8-p30,3,1.750879
test1,ps8-p35,3,1.869065
test1many,ps8-p35,3,1.644198
test1,ps8-p45,4,2.389799
test1many,ps8-p45,4,2.350434
test1,ps8-p53,4,2.818704
test1many,ps8-p53,4,2.968039
test1,ps7-p30,4,1.753261
test1many,ps7-p30,4,1.839860
test1,ps8-p30,4,1.715358
test1many,ps8-p30,4,1.796484
test1,ps8-p35,4,1.901936
test1many,ps8-p35,4,1.622275
test1,ps8-p40,4,2.182882
test1many,ps8-p40,4,1.799718
test1,ps8-p53,5,2.799491
test1many,ps8-p53,5,2.937618
test1,ps7-p30,5,1.861156
test1many,ps7-p30,5,1.972295
test1,ps8-p30,5,1.801697
test1many,ps8-p30,5,1.880886
test1,ps8-p35,5,1.986134
test1many,ps8-p35,5,1.990202
test1,ps8-p40,5,2.433296
test1many,ps8-p40,5,2.318376
test1,ps8-p45,5,2.947713
test1many,ps8-p45,5,2.795609
