pop,curve,f,R1_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
rich,ex:10,1 0 0 0 0 0 1,0.00043240378094661037,75000,6,14,22800000,150000,5625037500,2379250,35612,1886992,4221059,320740,7537,99441242,178012466,1982218,302499296,574622341
rich,ex:10,1 0 0 0 0 0 1,0.0002162207743837317,75000,7,15,22800000,150000,5625037500,1202966,30808,1055830,2369666,171581,3733,112547090,128258118,1173230,265628570,504475903
rich,ex:10,1 0 0 0 0 0 1,0.00010812608038205194,75000,8,16,22800000,150000,5625037500,618188,28533,577167,1344642,105428,2017,129865526,99337976,588396,253858034,481355959
rich,ex:10,1 0 0 0 0 0 1,5.4073764856804786e-05,75000,9,17,22800000,150000,5625037500,325501,26938,314581,796008,62561,949,146554862,83744520,291964,256346516,484967984
rich,ex:10,1 0 0 0 0 0 1,2.704464941559814e-05,75000,10,18,22800000,150000,5625037500,176778,25987,174008,508365,46624,537,161232180,74472412,168156,261881752,496278865
rich,ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,75000,11,19,22800000,150000,5625037500,103825,25038,103073,360344,34817,265,175423144,69691646,95178,273930656,519980948
rich,ex:10,1 0 0 0 0 0 1,6.777009899459699e-06,75000,12,20,22800000,150000,5625037500,65139,24080,64979,282309,30176,161,193301988,61607398,67354,284860140,539674902
rich,ex:10,1 0 0 0 0 0 1,3.4165091228681127e-06,75000,13,21,22800000,150000,5625037500,44475,23681,44429,241410,26094,77,206350168,67580246,55390,303917350,576086759
rich,ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,75000,14,22,22800000,150000,5625037500,35612,15721,35599,220662,16737,33,235350530,61828198,39352,329624364,619623917
rich,ex:10,1 0 0 0 0 0 1,8.850527445200327e-07,75000,15,23,22800000,150000,5625037500,30808,14766,30806,200784,15401,21,258095898,67145584,37204,359842068,680566714
rich,ex:10,1 0 0 0 0 0 1,4.512458900351623e-07,75000,16,24,22800000,150000,5625037500,28533,13585,28533,184744,14093,17,279810850,57617088,29726,372727602,706641172
rich,ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,75000,17,25,22800000,150000,5625037500,26938,13114,26938,169796,13495,13,300431864,62395146,30486,399598782,758687626
rich,ex:10,1 0 0 0 0 0 1,1.1964342457022108e-07,75000,18,26,22800000,150000,5625037500,25987,12925,25987,155972,13052,5,319348178,62548280,17338,419282130,795816655
rich,ex:10,1 0 0 0 0 0 1,6.270425761235263e-08,75000,19,27,22800000,150000,5625037500,25038,10242,25038,142910,10369,5,330168522,62373242,16984,431372634,818336619
