curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.1964342457022108e-07,25000,11,18,2800000,25000,625012500,18199,8541,18114,79317,10827,57,28509814,9193704,34700,45290600,82720166
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.0230444209174729e-08,25000,11,22,2800000,25000,625012500,18199,5264,18114,112107,5264,1,31231582,10048520,5052,50930318,89759416
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.3824073675608417e-09,25000,11,26,2800000,25000,625012500,18199,4380,18114,131331,4380,1,29782270,9748782,4848,49673844,91245545
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,5.82192666368189e-10,25000,11,30,2800000,25000,625012500,18199,3310,18114,142575,3310,1,31080422,10467782,5694,51651800,92888695
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.1964342457022108e-07,25000,14,18,2800000,25000,625012500,9824,8541,9823,36836,10827,57,34161854,8611452,26592,50564248,93842000
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.0230444209174729e-08,25000,14,22,2800000,25000,625012500,9824,5264,9823,69626,5264,1,36840312,9069040,5572,55854098,102513823
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.3824073675608417e-09,25000,14,26,2800000,25000,625012500,9824,4380,9823,88850,4380,1,36660830,8799188,5066,55915214,102462417
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,5.82192666368189e-10,25000,14,30,2800000,25000,625012500,9824,3310,9823,100094,3310,1,39635024,9015706,5144,59186998,109249453
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.1964342457022108e-07,25000,17,18,2800000,25000,625012500,8740,8541,8740,8740,10827,57,44106834,8369306,30222,60042008,111744463
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.0230444209174729e-08,25000,17,22,2800000,25000,625012500,8740,5264,8740,41530,5264,1,44564430,8832806,4838,62799378,116282716
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.3824073675608417e-09,25000,17,26,2800000,25000,625012500,8740,4380,8740,60754,4380,1,46446804,8491544,4592,64491164,120205383
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,5.82192666368189e-10,25000,17,30,2800000,25000,625012500,8740,3310,8740,71998,3310,1,46421378,8688696,4790,65486262,120573291
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,1.0230444209174729e-08,25000,20,22,2800000,25000,625012500,8026,5264,8026,15942,5264,1,54436266,8378720,4720,71329246,133163170
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,1.3824073675608417e-09,25000,20,26,2800000,25000,625012500,8026,4380,8026,35166,4380,1,51642314,8614244,4384,69393952,130183731
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,5.82192666368189e-10,25000,20,30,2800000,25000,625012500,8026,3310,8026,46410,3310,1,52766910,9138170,4686,71840228,134007155
ex:10,1 0 0 0 0 0 1,5.699313209955472e-09,1.3824073675608417e-09,25000,23,26,2800000,25000,625012500,4958,4380,4958,13960,4380,1,57456526,8795268,4846,75429670,141137895
ex:10,1 0 0 0 0 0 1,5.699313209955472e-09,5.82192666368189e-10,25000,23,30,2800000,25000,625012500,4958,3310,4958,25204,3310,1,58686742,8282260,5338,77838088,143963131
ex:10,1 0 0 0 0 0 1,1.3824073675608417e-09,1.3824073675608417e-09,25000,26,26,2800000,25000,625012500,4380,4380,4380,0,4380,1,66488808,5720394,5098,81654498,152769938
ex:10,1 0 0 0 0 0 1,1.3824073675608417e-09,5.82192666368189e-10,25000,26,30,2800000,25000,625012500,4380,3310,4380,11244,3310,1,64782382,8185718,12240,83125194,155480957
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.1964342457022108e-07,75000,11,18,22800000,150000,5625037500,103825,25987,103073,334357,46624,537,175642262,69159176,175682,272061750,515459319
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.0230444209174729e-08,75000,11,22,22800000,150000,5625037500,103825,15721,103073,433143,16737,33,179432618,66502822,28356,277490010,524760749
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.3824073675608417e-09,75000,11,26,22800000,150000,5625037500,103825,12925,103073,490329,13052,5,193677326,66963650,18432,294237720,555660174
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,5.82192666368189e-10,75000,11,30,22800000,150000,5625037500,103825,9758,103073,523568,9885,5,200405918,75408608,27540,316165658,572738479
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.1964342457022108e-07,75000,14,18,22800000,150000,5625037500,35612,25987,35599,121876,46624,537,218347270,63717970,185044,310022012,587493978
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.0230444209174729e-08,75000,14,22,22800000,150000,5625037500,35612,15721,35599,220662,16737,33,224920140,59422532,26982,315828282,598814920
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.3824073675608417e-09,75000,14,26,22800000,150000,5625037500,35612,12925,35599,277848,13052,5,230471856,60036024,20228,324141002,615090984
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,5.82192666368189e-10,75000,14,30,22800000,150000,5625037500,35612,9758,35599,311087,9885,5,234909028,64925730,20350,336231624,636353207
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.1964342457022108e-07,75000,17,18,22800000,150000,5625037500,26938,25987,26938,26938,46624,537,298683874,65718232,218366,399916828,736380262
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.0230444209174729e-08,75000,17,22,22800000,150000,5625037500,26938,15721,26938,125724,16737,33,290610460,60491336,28954,385804184,733177478
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.3824073675608417e-09,75000,17,26,22800000,150000,5625037500,26938,12925,26938,182910,13052,5,306336320,60098814,25722,403505490,765259511
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,5.82192666368189e-10,75000,17,30,22800000,150000,5625037500,26938,9758,26938,216149,9885,5,296052388,64503656,16612,400540642,759027280
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,1.0230444209174729e-08,75000,20,22,22800000,150000,5625037500,24080,15721,24080,47761,16737,33,350907556,59093310,37782,447881988,826390412
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,1.3824073675608417e-09,75000,20,26,22800000,150000,5625037500,24080,12925,24080,104947,13052,5,360251234,61284190,16764,459263592,868725064
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,5.82192666368189e-10,75000,20,30,22800000,150000,5625037500,24080,9758,24080,138186,9885,5,370040352,66111300,24246,478808078,863102440
ex:10,1 0 0 0 0 0 1,5.699313209955472e-09,1.3824073675608417e-09,75000,23,26,22800000,150000,5625037500,14766,12925,14766,41465,13052,5,399355006,59582874,18414,496931462,943856399
ex:10,1 0 0 0 0 0 1,5.699313209955472e-09,5.82192666368189e-10,75000,23,30,22800000,150000,5625037500,14766,9758,14766,74704,9885,5,410069048,66405600,20278,518173220,963119802
ex:10,1 0 0 0 0 0 1,1.3824073675608417e-09,1.3824073675608417e-09,75000,26,26,22800000,150000,5625037500,12925,12925,12925,0,13052,5,443452032,41709660,19470,523034914,995536632
ex:10,1 0 0 0 0 0 1,1.3824073675608417e-09,5.82192666368189e-10,75000,26,30,22800000,150000,5625037500,12925,9758,12925,33239,9885,5,452309120,58529676,17952,550892998,1044127773
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.1964342457022108e-07,150000,11,18,88800000,450000,22500075000,354542,53095,351451,959315,132210,2069,630385790,257800918,703858,963934086,1812622163
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.0230444209174729e-08,150000,11,22,88800000,450000,22500075000,354542,31446,351451,1158749,36780,161,644219830,248946368,105872,974878560,1832174439
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.3824073675608417e-09,150000,11,26,88800000,450000,22500075000,354542,25756,351451,1272935,26391,21,773097668,303622304,35790,1180143798,1841312986
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,5.82192666368189e-10,150000,11,30,88800000,450000,22500075000,354542,19564,351451,1339393,19818,9,783813630,292895020,39186,1189912162,1844013478
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.1964342457022108e-07,150000,14,18,88800000,450000,22500075000,89947,53095,89883,278917,132210,2069,938696504,291075232,833576,1324569660,2055572649
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.0230444209174729e-08,150000,14,22,88800000,450000,22500075000,89947,31446,89883,478351,36780,161,997880884,288056470,134394,1391601504,2119646081
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.3824073675608417e-09,150000,14,26,88800000,450000,22500075000,89947,25756,89883,592537,26391,21,1021720740,293445400,50640,1427553208,2166010442
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,5.82192666368189e-10,150000,14,30,88800000,450000,22500075000,89947,19564,89883,658995,19818,9,1073878522,301020300,46908,1497091514,2176707041
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.1964342457022108e-07,150000,17,18,88800000,450000,22500075000,56316,53095,56316,56316,132210,2069,1291148042,290159904,966052,1691450346,2582363661
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.0230444209174729e-08,150000,17,22,88800000,450000,22500075000,56316,31446,56316,255750,36780,161,1358044958,288718536,196372,1762687908,2629979016
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.3824073675608417e-09,150000,17,26,88800000,450000,22500075000,56316,25756,56316,369936,26391,21,1320874154,287248978,77974,1736310078,2646349973
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,5.82192666368189e-10,150000,17,30,88800000,450000,22500075000,56316,19564,56316,436394,19818,9,1394755676,280795466,35840,1801569482,2689823533
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,1.0230444209174729e-08,150000,20,22,88800000,450000,22500075000,48350,31446,48350,95751,36780,161,1547982260,267488120,165850,1927713972,2976428214
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,1.3824073675608417e-09,150000,20,26,88800000,450000,22500075000,48350,25756,48350,209937,26391,21,1587357438,281949468,50130,1986190708,3012036005
ex:10,1 0 0 0 0 0 1,3.347706500350337e-08,5.82192666368189e-10,150000,20,30,88800000,450000,22500075000,48350,19564,48350,276395,19818,9,1641073382,267511962,41636,2033691194,3047225552
ex:10,1 0 0 0 0 0 1,5.699313209955472e-09,1.3824073675608417e-09,150000,23,26,88800000,450000,22500075000,29479,25756,29479,82740,26391,21,1818328676,276784616,64388,2212041522,3372346122
ex:10,1 0 0 0 0 0 1,5.699313209955472e-09,5.82192666368189e-10,150000,23,30,88800000,450000,22500075000,29479,19564,29479,149198,19818,9,1786558632,253630616,38826,2163721528,3358638571
ex:10,1 0 0 0 0 0 1,1.3824073675608417e-09,1.3824073675608417e-09,150000,26,26,88800000,450000,22500075000,25756,25756,25756,0,26391,21,2050211656,207203472,72264,2376811800,3628485576
ex:10,1 0 0 0 0 0 1,1.3824073675608417e-09,5.82192666368189e-10,150000,26,30,88800000,450000,22500075000,25756,19564,25756,66458,19818,9,2101234878,272791622,45044,2495351466,3762642574
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.357681078848142e-06,25000,11,18,3519216,65457,506184555,265430,38311,253655,726779,957425,3070,42079834,37004870,1343598,97075976,145806741
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.0241590950480844e-06,25000,11,22,3519216,65457,506184555,265430,31016,253655,866341,755284,396,47243694,38654936,269768,105637324,150435373
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,2.2403732739917415e-07,25000,11,26,3519216,65457,506184555,265430,26191,253655,981464,636500,82,46877748,38229170,85548,105072418,153410273
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.641076257201237e-07,25000,11,30,3519216,65457,506184555,265430,20537,253655,1031584,500141,63,46411482,36938620,69474,102367016,154273186
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.357681078848142e-06,25000,14,18,3519216,65457,506184555,72075,38311,71617,215664,957425,3070,54559046,21674124,1426496,93718990,139724330
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.0241590950480844e-06,25000,14,22,3519216,65457,506184555,72075,31016,71617,355226,755284,396,55267884,20625754,229838,92992370,139895396
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,2.2403732739917415e-07,25000,14,26,3519216,65457,506184555,72075,26191,71617,470349,636500,82,56567988,21026694,79782,96144838,143464661
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.641076257201237e-07,25000,14,30,3519216,65457,506184555,72075,20537,71617,520469,500141,63,58377230,20898606,68354,97489432,146535398
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,7.357681078848142e-06,25000,17,18,3519216,65457,506184555,41887,38311,41844,41844,957425,3070,65040384,17421158,1331206,99524222,149772172
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.0241590950480844e-06,25000,17,22,3519216,65457,506184555,41887,31016,41844,181406,755284,396,68750622,16805266,240080,103317994,155511654
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,2.2403732739917415e-07,25000,17,26,3519216,65457,506184555,41887,26191,41844,296529,636500,82,68796690,17014856,73916,103619080,156232512
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.641076257201237e-07,25000,17,30,3519216,65457,506184555,41887,20537,41844,346649,500141,63,75760890,17992358,77886,115121394,163024574
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,1.0241590950480844e-06,25000,20,22,3519216,65457,506184555,33959,31016,33955,65571,755284,396,82127470,16270570,255544,115023944,169241256
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,2.2403732739917415e-07,25000,20,26,3519216,65457,506184555,33959,26191,33955,180694,636500,82,79618126,16241058,77584,112596408,169874609
ex:52,1 -2 0 2 -2 0 1,2.6753919993801773e-06,1.641076257201237e-07,25000,20,30,3519216,65457,506184555,33959,20537,33955,230814,500141,63,82255408,16404416,73448,116179628,173561154
ex:52,1 -2 0 2 -2 0 1,6.605523157410722e-07,2.2403732739917415e-07,25000,23,26,3519216,65457,506184555,28646,26191,28646,84109,636500,82,90547282,15568584,79670,123750112,183861875
ex:52,1 -2 0 2 -2 0 1,6.605523157410722e-07,1.641076257201237e-07,25000,23,30,3519216,65457,506184555,28646,20537,28646,134229,500141,63,91663772,15652266,63728,125240204,187214913
ex:52,1 -2 0 2 -2 0 1,2.2403732739917415e-07,2.2403732739917415e-07,25000,26,26,3519216,65457,506184555,26191,26191,26191,0,636500,82,98742010,11080090,76724,126698742,190872009
