curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.7383553740523243e-06,25000,8,14,2800000,625012500,74961,9824,70478,180800,39732,809,20674744,12499572,240478,40161966,74092778
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.1964342457022108e-07,25000,8,18,2800000,625012500,74961,8541,70478,217636,10827,57,21024728,12619694,29794,41455244,75966071
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.0230444209174729e-08,25000,8,22,2800000,625012500,74961,5264,70478,250426,5264,1,21730028,13038362,5210,43410754,80214457
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.3824073675608417e-09,25000,8,26,2800000,625012500,74961,4380,70478,269650,4380,1,22176322,13472910,4668,44816986,83213283
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.7383553740523243e-06,25000,11,14,2800000,625012500,18199,9824,18114,42481,39732,809,27653298,9600404,242968,44034928,80988223
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.1964342457022108e-07,25000,11,18,2800000,625012500,18199,8541,18114,79317,10827,57,28464328,9326378,27376,45810308,84070922
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.0230444209174729e-08,25000,11,22,2800000,625012500,18199,5264,18114,112107,5264,1,29273884,9452016,9246,47327710,87409303
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.3824073675608417e-09,25000,11,26,2800000,625012500,18199,4380,18114,131331,4380,1,29830682,9627904,5088,49472490,91264448
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.7383553740523243e-06,25000,14,14,2800000,625012500,9824,9824,9823,0,39732,809,33887292,5834834,243808,46982364,86137638
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.1964342457022108e-07,25000,14,18,2800000,625012500,9824,8541,9823,36836,10827,57,36607146,8835156,29784,54009846,96402122
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.0230444209174729e-08,25000,14,22,2800000,625012500,9824,5264,9823,69626,5264,1,36124236,8769766,37764,53823060,100232609
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.3824073675608417e-09,25000,14,26,2800000,625012500,9824,4380,9823,88850,4380,1,36380274,8876404,5018,55539056,102152164
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.1964342457022108e-07,25000,17,18,2800000,625012500,8740,8541,8740,8740,10827,57,43545966,8446878,27318,59915020,111138486
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.0230444209174729e-08,25000,17,22,2800000,625012500,8740,5264,8740,41530,5264,1,44035244,8774240,4830,61438244,115328024
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.3824073675608417e-09,25000,17,26,2800000,625012500,8740,4380,8740,60754,4380,1,45476090,8685754,4834,64688538,119206569
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.7383553740523243e-06,75000,8,14,22800000,5625037500,618188,35612,577167,1278237,320740,7537,129317298,100262790,1909460,254332238,481407748
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.1964342457022108e-07,75000,8,18,22800000,5625037500,618188,25987,577167,1400113,46624,537,132271978,99867628,188242,256943224,486852198
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.0230444209174729e-08,75000,8,22,22800000,5625037500,618188,15721,577167,1498899,16737,33,138724238,102782054,40660,273571484,499097090
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.3824073675608417e-09,75000,8,26,22800000,5625037500,618188,12925,577167,1556085,13052,5,139488460,101419046,26546,271724504,513095883
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.7383553740523243e-06,75000,11,14,22800000,5625037500,103825,35612,103073,212481,320740,7537,170130062,68817984,1924434,265609996,503362047
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.1964342457022108e-07,75000,11,18,22800000,5625037500,103825,25987,103073,334357,46624,537,181524950,71799648,190340,285367138,512337952
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.0230444209174729e-08,75000,11,22,22800000,5625037500,103825,15721,103073,433143,16737,33,182187464,65772276,24578,278469770,526522180
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.3824073675608417e-09,75000,11,26,22800000,5625037500,103825,12925,103073,490329,13052,5,186698920,65815322,15790,285239616,541075314
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.7383553740523243e-06,75000,14,14,22800000,5625037500,35612,35612,35599,0,320740,7537,213723106,44637860,1880216,285699958,542495556
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.1964342457022108e-07,75000,14,18,22800000,5625037500,35612,25987,35599,121876,46624,537,224533944,64102044,176688,316673806,599164989
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.0230444209174729e-08,75000,14,22,22800000,5625037500,35612,15721,35599,220662,16737,33,233593816,60857338,39100,325888910,617909719
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.3824073675608417e-09,75000,14,26,22800000,5625037500,35612,12925,35599,277848,13052,5,238087384,59524060,14226,331483380,627287666
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.1964342457022108e-07,75000,17,18,22800000,5625037500,26938,25987,26938,26938,46624,537,299593066,66002190,229912,398585450,751050300
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.0230444209174729e-08,75000,17,22,22800000,5625037500,26938,15721,26938,125724,16737,33,307045682,63377106,34378,410980424,731411995
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.3824073675608417e-09,75000,17,26,22800000,5625037500,26938,12925,26938,182910,13052,5,299691920,58028026,18396,395236174,749444050
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.7383553740523243e-06,150000,8,14,88800000,22500075000,2415435,89947,2248730,4763418,1250458,30673,454362538,384693366,7794984,915647616,1721681293
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.1964342457022108e-07,150000,8,18,88800000,22500075000,2415435,53095,2248730,5042335,132210,2069,472046474,384353354,717058,931002544,1726946711
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.0230444209174729e-08,150000,8,22,88800000,22500075000,2415435,31446,2248730,5241769,36780,161,489052562,388978564,114416,966390090,1757069534
ex:10,1 0 0 0 0 0 1,0.00010812608038205194,1.3824073675608417e-09,150000,8,26,88800000,22500075000,2415435,25756,2248730,5355955,26391,21,496106920,394080928,45756,978562696,1775891549
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.7383553740523243e-06,150000,11,14,88800000,22500075000,354542,89947,351451,680398,1250458,30673,616356168,264591160,7823500,963729388,1792580255
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.1964342457022108e-07,150000,11,18,88800000,22500075000,354542,53095,351451,959315,132210,2069,693412884,292125068,736050,1070883352,1762388940
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.0230444209174729e-08,150000,11,22,88800000,22500075000,354542,31446,351451,1158749,36780,161,758722186,300769596,111862,1158048816,1815286562
ex:10,1 0 0 0 0 0 1,1.3528446176657286e-05,1.3824073675608417e-09,150000,11,26,88800000,22500075000,354542,25756,351451,1272935,26391,21,770266766,301405552,48838,1174904336,1861182676
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.7383553740523243e-06,150000,14,14,88800000,22500075000,89947,89947,89883,0,1250458,30673,960780240,208279978,9588530,1268813294,1927513413
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.1964342457022108e-07,150000,14,18,88800000,22500075000,89947,53095,89883,278917,132210,2069,940324620,285750500,801142,1318028204,2065209976
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.0230444209174729e-08,150000,14,22,88800000,22500075000,89947,31446,89883,478351,36780,161,988646186,287194378,138782,1381540604,2114144654
ex:10,1 0 0 0 0 0 1,1.7383553740523243e-06,1.3824073675608417e-09,150000,14,26,88800000,22500075000,89947,25756,89883,592537,26391,21,977763886,281566216,50328,1368537120,2142202328
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.1964342457022108e-07,150000,17,18,88800000,22500075000,56316,53095,56316,56316,132210,2069,1225804460,274496930,846394,1598418892,2541568176
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.0230444209174729e-08,150000,17,22,88800000,22500075000,56316,31446,56316,255750,36780,161,1211414418,264079942,122238,1583069708,2534105796
ex:10,1 0 0 0 0 0 1,2.306646394082025e-07,1.3824073675608417e-09,150000,17,26,88800000,22500075000,56316,25756,56316,369936,26391,21,1314744120,287082262,59382,1718747880,2649224237
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,7.095817682064266e-05,25000,8,14,3519216,506184555,1622203,72075,1212823,2899768,2026017,29049,30050206,104660716,10632012,159685836,242049724
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,7.357681078848142e-06,25000,8,18,3519216,506184555,1622203,38311,1212823,3115432,957425,3070,30880744,94837322,1377514,142966186,220934474
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,1.0241590950480844e-06,25000,8,22,3519216,506184555,1622203,31016,1212823,3254994,755284,396,31696700,92064842,256674,141337056,222836602
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,2.2403732739917415e-07,25000,8,26,3519216,506184555,1622203,26191,1212823,3370117,636500,82,33585036,94759848,81406,145665524,225765603
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.095817682064266e-05,25000,11,14,3519216,506184555,265430,72075,253655,511115,2026017,29049,39466390,43516232,9510562,107139458,165870238
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.357681078848142e-06,25000,11,18,3519216,506184555,265430,38311,253655,726779,957425,3070,40422468,36098660,1308400,93525502,144296352
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.0241590950480844e-06,25000,11,22,3519216,506184555,265430,31016,253655,866341,755284,396,43088658,35687788,239024,96260266,147844067
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,2.2403732739917415e-07,25000,11,26,3519216,506184555,265430,26191,253655,981464,636500,82,45072044,37034642,87936,100833888,151456669
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.095817682064266e-05,25000,14,14,3519216,506184555,72075,72075,71617,0,2026017,29049,49046300,22799914,9495586,95337608,147666412
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.357681078848142e-06,25000,14,18,3519216,506184555,72075,38311,71617,215664,957425,3070,50694094,20504462,1308802,86913878,134228002
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.0241590950480844e-06,25000,14,22,3519216,506184555,72075,31016,71617,355226,755284,396,53107228,20121916,260794,90868960,138829425
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,2.2403732739917415e-07,25000,14,26,3519216,506184555,72075,26191,71617,470349,636500,82,56871566,20886088,74890,95318534,143512528
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,7.357681078848142e-06,25000,17,18,3519216,506184555,41887,38311,41844,41844,957425,3070,64949126,17522640,1329052,99235032,149581232
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.0241590950480844e-06,25000,17,22,3519216,506184555,41887,31016,41844,181406,755284,396,64404268,16790134,230518,98094976,151424352
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,2.2403732739917415e-07,25000,17,26,3519216,506184555,41887,26191,41844,296529,636500,82,69692290,17034110,73966,104655280,158971455
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,7.095817682064266e-05,75000,8,14,28351600,4555539205,14390524,428296,10725596,24809182,12906044,259683,180906444,861000250,72904894,1161507732,1868234949
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,7.357681078848142e-06,75000,8,18,28351600,4555539205,14390524,136553,10725596,25883045,3571230,26723,184879420,778359926,10554384,1021724884,1655897594
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,1.0241590950480844e-06,75000,8,22,28351600,4555539205,14390524,95647,10725596,26348072,2355670,3719,204832918,823750560,2222120,1086107140,1652856882
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,2.2403732739917415e-07,75000,8,26,28351600,4555539205,14390524,77847,10725596,26697426,1899283,820,200000050,789443362,665146,1046873780,1663052166
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.095817682064266e-05,75000,11,14,28351600,4555539205,2168330,428296,2069565,3940377,12906044,259683,238670748,336392268,69405644,690433780,1121630436
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.357681078848142e-06,75000,11,18,28351600,4555539205,2168330,136553,2069565,5014240,3571230,26723,250551884,267343426,10192970,576644558,922771322
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.0241590950480844e-06,75000,11,22,28351600,4555539205,2168330,95647,2069565,5479267,2355670,3719,261805440,264114196,1878778,580884080,916929459
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,2.2403732739917415e-07,75000,11,26,28351600,4555539205,2168330,77847,2069565,5828621,1899283,820,261840044,257184364,540670,577239344,924560036
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.095817682064266e-05,75000,14,14,28351600,4555539205,428296,428296,425276,0,12906044,259683,311320284,174232786,70341340,601741702,964431559
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.357681078848142e-06,75000,14,18,28351600,4555539205,428296,136553,425276,1073863,3571230,26723,316055874,136845808,10172918,511445576,817179653
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.0241590950480844e-06,75000,14,22,28351600,4555539205,428296,95647,425276,1538890,2355670,3719,330036520,130323330,1704672,514609628,822510886
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,2.2403732739917415e-07,75000,14,26,28351600,4555539205,428296,77847,425276,1888244,1899283,820,346760836,132767834,491746,535519662,830506650
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,7.357681078848142e-06,75000,17,18,28351600,4555539205,162280,136553,162096,162096,3571230,26723,444465418,117314494,10840030,624691620,962581618
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.0241590950480844e-06,75000,17,22,28351600,4555539205,162280,95647,162096,627123,2355670,3719,466460040,110949026,2016406,642473028,952121075
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,2.2403732739917415e-07,75000,17,26,28351600,4555539205,162280,77847,162096,976477,1899283,820,455733032,109996594,511162,625215676,945606591
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,7.095817682064266e-05,150000,8,14,110022768,18222035017,57382779,1495790,42726519,98029312,46390458,1040483,691080068,3598085712,284051984,4709008428,7288904725
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,7.357681078848142e-06,150000,8,18,110022768,18222035017,57382779,338890,42726519,101465364,9262853,107419,663303468,3119271226,40641696,3958196620,6406030000
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,1.0241590950480844e-06,150000,8,22,110022768,18222035017,57382779,199814,42726519,102538112,4992380,14977,674499510,3072782978,8582556,3892948282,6341594045
ex:52,1 -2 0 2 -2 0 1,0.0031617908043403403,2.2403732739917415e-07,150000,8,26,110022768,18222035017,57382779,156291,42726519,103254568,3829113,3272,680646216,3087547116,2730550,3922129510,6365545990
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.095817682064266e-05,150000,11,14,110022768,18222035017,8465957,1495790,8077221,15128259,46390458,1040483,896421068,1344180522,267609142,2645802836,4207707091
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,7.357681078848142e-06,150000,11,18,110022768,18222035017,8465957,338890,8077221,18564311,9262853,107419,887229160,1004423082,38681016,2062467416,3331205443
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,1.0241590950480844e-06,150000,11,22,110022768,18222035017,8465957,199814,8077221,19637059,4992380,14977,903305666,976454602,6929278,2025337652,3270972508
ex:52,1 -2 0 2 -2 0 1,0.00045704524570158706,2.2403732739917415e-07,150000,11,26,110022768,18222035017,8465957,156291,8077221,20353515,3829113,3272,942123780,989975690,2115984,2078293698,3308393913
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.095817682064266e-05,150000,14,14,110022768,18222035017,1495790,1495790,1485016,0,46390458,1040483,1121534056,671800264,260668892,2187705244,3553485966
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,7.357681078848142e-06,150000,14,18,110022768,18222035017,1495790,338890,1485016,3436052,9262853,107419,1216258824,531043338,40482262,1929354912,2950229968
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,1.0241590950480844e-06,150000,14,22,110022768,18222035017,1495790,199814,1485016,4508800,4992380,14977,1271914982,510697490,7332390,1937128308,2923020510
ex:52,1 -2 0 2 -2 0 1,7.095817682064266e-05,2.2403732739917415e-07,150000,14,26,110022768,18222035017,1495790,156291,1485016,5225256,3829113,3272,1297096700,502989310,2252796,1971182500,2969230094
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,7.357681078848142e-06,150000,17,18,110022768,18222035017,435878,338890,435392,435392,9262853,107419,1683126090,453555002,42779678,2328069206,3455607850
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,1.0241590950480844e-06,150000,17,22,110022768,18222035017,435878,199814,435392,1508140,4992380,14977,1722089594,420743046,7312542,2309642112,3356301021
ex:52,1 -2 0 2 -2 0 1,1.238306745494407e-05,2.2403732739917415e-07,150000,17,26,110022768,18222035017,435878,156291,435392,2224596,3829113,3272,1617466850,391651918,1799448,2164868338,3360032054
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,0.00013863029897816578,25000,8,14,3338896,579892517,2882612,132336,1823813,4739539,3962762,64625,29789778,145135398,20892838,207240744,323633215
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,1.7004180782605477e-05,25000,8,18,3338896,579892517,2882612,59623,1823813,5110021,1639025,7809,29900138,127234584,3605486,172777280,268187710
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,3.3831932743919976e-06,25000,8,22,3338896,579892517,2882612,44265,1823813,5316891,1188008,1544,31668646,126163336,884128,172914414,267233111
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,8.827584771976144e-07,25000,8,26,3338896,579892517,2882612,35060,1823813,5477698,935968,362,32991924,126082672,302454,173381926,269004831
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,0.00013863029897816578,25000,11,14,3338896,579892517,507580,132336,465772,944745,3962762,64625,37161536,69826734,20047636,137825772,218736895
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,1.7004180782605477e-05,25000,11,18,3338896,579892517,507580,59623,465772,1315227,1639025,7809,39726872,54755534,3544112,110582404,170120968
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,3.3831932743919976e-06,25000,11,22,3338896,579892517,507580,44265,465772,1522097,1188008,1544,40538106,52996608,837384,107853256,166054895
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,8.827584771976144e-07,25000,11,26,3338896,579892517,507580,35060,465772,1682904,935968,362,42158452,53116986,271668,110223746,169309756
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,0.00013863029897816578,25000,14,14,3338896,579892517,132336,132336,129829,0,3962762,64625,48248568,39280588,20420344,118675066,184319768
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,1.7004180782605477e-05,25000,14,18,3338896,579892517,132336,59623,129829,370482,1639025,7809,50829420,28483174,3503410,94688682,146398549
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,3.3831932743919976e-06,25000,14,22,3338896,579892517,132336,44265,129829,577352,1188008,1544,51278728,26938776,831388,91917976,141966941
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,8.827584771976144e-07,25000,14,26,3338896,579892517,132336,35060,129829,738159,935968,362,52912442,27301642,268460,94237538,145015867
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,1.7004180782605477e-05,25000,17,18,3338896,579892517,66667,59623,66162,66162,1639025,7809,62196204,21475042,3486134,99792780,153334801
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,3.3831932743919976e-06,25000,17,22,3338896,579892517,66667,44265,66162,273032,1188008,1544,63580502,20049046,836782,97593694,150354067
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,8.827584771976144e-07,25000,17,26,3338896,579892517,66667,35060,66162,433839,935968,362,65202378,20236890,280820,100436828,153449016
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,0.00013863029897816578,75000,8,14,28122480,5218983614,25661106,876109,16258201,41178859,27355599,583568,183708476,1242988824,156906096,1624960714,2646452917
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,1.7004180782605477e-05,75000,8,18,28122480,5218983614,25661106,237692,16258201,43290870,6821812,71069,192804592,1094240212,28845612,1356211246,2176157325
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,3.3831932743919976e-06,75000,8,22,28122480,5218983614,25661106,144073,16258201,44050305,3931879,13876,198605448,1083059266,7110360,1331699360,2131455142
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,8.827584771976144e-07,75000,8,26,28122480,5218983614,25661106,106670,16258201,44560754,2870517,3557,199010848,1074963692,2332806,1319986430,2129281503
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,0.00013863029897816578,75000,11,14,28122480,5218983614,4267755,876109,3923027,7637989,27355599,583568,243186748,583185142,154764182,1017657184,1639571758
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,1.7004180782605477e-05,75000,11,18,28122480,5218983614,4267755,237692,3923027,9750000,6821812,71069,255421350,417460988,28206482,739343390,1180927936
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,3.3831932743919976e-06,75000,11,22,28122480,5218983614,4267755,144073,3923027,10509435,3931879,13876,262167772,398116226,6766440,709657432,1133690516
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,8.827584771976144e-07,75000,11,26,28122480,5218983614,4267755,106670,3923027,11019884,2870517,3557,268971254,399804520,2053946,714294828,1134198962
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,0.00013863029897816578,75000,14,14,28122480,5218983614,876109,876109,861899,0,27355599,583568,322181512,317249092,155115006,831750824,1334899321
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,1.7004180782605477e-05,75000,14,18,28122480,5218983614,876109,237692,861899,2112011,6821812,71069,333862280,198760202,27815986,600338222,948089321
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,3.3831932743919976e-06,75000,14,22,28122480,5218983614,876109,144073,861899,2871446,3931879,13876,347226574,183590704,6593794,581129702,916497969
ex:241,4 4 -4 -5 -5 -4 4,0.00013863029897816578,8.827584771976144e-07,75000,14,26,28122480,5218983614,876109,106670,861899,3381895,2870517,3557,342850994,178868996,1977570,568291138,908005976
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,1.7004180782605477e-05,75000,17,18,28122480,5218983614,295961,237692,294652,294652,6821812,71069,427999312,145461004,28377676,641595314,1017347458
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,3.3831932743919976e-06,75000,17,22,28122480,5218983614,295961,144073,294652,1054087,3931879,13876,435064076,130961280,6533176,615772874,976562175
ex:241,4 4 -4 -5 -5 -4 4,2.7818720919242157e-05,8.827584771976144e-07,75000,17,26,28122480,5218983614,295961,106670,294652,1564536,2870517,3557,441244572,127598928,1935550,616656692,983136287
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,0.00013863029897816578,150000,8,14,110547664,20875885410,102364718,3184144,64864670,163204133,100905611,2330830,678813888,5034996342,573367588,6398383212,10524219700
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,1.7004180782605477e-05,150000,8,18,110547664,20875885410,102364718,650975,64864670,170417647,19312062,285181,704428876,4404116188,102635424,5326836318,8642316523
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,3.3831932743919976e-06,150000,8,22,110547664,20875885410,102364718,321867,64864670,172345241,8953505,56027,732367700,4408987080,27482994,5294853608,8473016751
ex:241,4 4 -4 -5 -5 -4 4,0.004908268481149597,8.827584771976144e-07,150000,8,26,110547664,20875885410,102364718,220104,64864670,173449991,5965857,14495,727656136,4346301186,8970518,5211337138,8449027684
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,0.00013863029897816578,150000,11,14,110547664,20875885410,16764457,3184144,15419159,29667492,100905611,2330830,887049350,2263607392,560352436,3819747790,6267166715
ex:241,4 4 -4 -5 -5 -4 4,0.0007936102388103519,1.7004180782605477e-05,150000,11,18,110547664,20875885410,16764457,650975,15419159,36881006,19312062,285181,909115838,1599999836,98313956,2723101232,4391132862
