curve,f,R1_pred,R2_pred,height,sp1,sp2,arrays,calls,bits_in,bits_1,bits_2,units_1,and2,ext2,checks,cyc1,cyc2,cyc3,cyctot,perf_cycles
td:696,5 -7 -5 5 8 -3 -10,0.005290377610356865,4.352002118463709e-05,100000,5,11,5610832,32378,418492463,2015169,16907,1530166,2853926,557381,16145,18366198,93844932,5230208,131446778,249530722
td:696,5 -7 -5 5 8 -3 -10,0.005290377610356865,5.122353988921673e-06,100000,5,14,5610832,32378,418492463,2015169,2003,1530166,2882882,67093,1933,19200168,91307390,805846,126537178,237989629
td:696,5 -7 -5 5 8 -3 -10,0.005290377610356865,3.2882518296693206e-07,100000,5,18,5610832,32378,418492463,2015169,130,1530166,2886667,4057,129,19359790,89772218,87022,124969658,236590521
td:696,5 -7 -5 5 8 -3 -10,0.005290377610356865,2.5124090137124555e-08,100000,5,22,5610832,32378,418492463,2015169,11,1530166,2886906,467,11,20255228,90646786,24358,128423600,241468120
td:696,5 -7 -5 5 8 -3 -10,0.005290377610356865,2.6157493445827375e-09,100000,5,26,5610832,32378,418492463,2015169,0,1530166,2886928,0,0,20530836,90544946,0,129637200,243093758
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,4.352002118463709e-05,100000,8,11,5610832,32378,418492463,162421,16907,158007,266597,557381,16145,28106064,28334026,4942170,76046730,142927009
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,5.122353988921673e-06,100000,8,14,5610832,32378,418492463,162421,2003,158007,295553,67093,1933,28307388,25046208,771906,69045470,129718661
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,3.2882518296693206e-07,100000,8,18,5610832,32378,418492463,162421,130,158007,299338,4057,129,29018058,24373824,75718,69061228,130006476
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,2.5124090137124555e-08,100000,8,22,5610832,32378,418492463,162421,11,158007,299577,467,11,29559992,24625006,17476,71488948,132996357
td:696,5 -7 -5 5 8 -3 -10,0.0004233621307281584,2.6157493445827375e-09,100000,8,26,5610832,32378,418492463,162421,0,158007,299599,0,0,29796636,24600472,0,71732142,134623011
td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,4.352002118463709e-05,100000,11,11,5610832,32378,418492463,16907,16907,16861,0,557381,16145,39550318,14065018,4939372,73902460,137478174
td:696,5 -7 -5 5 8 -3 -10,4.352002118463709e-05,5.122353988921673e-06,100000,11,14,5610832,32378,418492463,16907,2003,16861,28956,67093,1933,39323090,15827714,792794,71539576,133760855
